Month,Year,Plot,Replicate,biomass_g,Notes
November,2017,RT,U2,0,
November,2017,RT,U3,0,
November,2017,TP,C1,0,
November,2017,TP,C2,0,
November,2017,TP,C3,0,
November,2017,TP,T1,0,
November,2017,TP,T2,0,
November,2017,TP,T3,0,
November,2017,TP,U1,0,
November,2017,TP,U2,0,
November,2017,TP,U3,0,
November,2017,CS,C1,0,
November,2017,CS,C2,0,
November,2017,CS,C3,0,
November,2017,CS,T1,0,
November,2017,CS,T2,0,
November,2017,CS,T3,0,
November,2017,CS,U1,0,
November,2017,CS,U2,0,
November,2017,CS,U3,0,
November,2017,WT1,C1,0,
November,2017,WT1,C2,0,
November,2017,WT1,C3,0,
November,2017,WT1,T1,0,
November,2017,WT1,T2,0,
November,2017,WT1,T3,0,
November,2017,WT1,U1,0,
November,2017,WT1,U2,0,
November,2017,WT1,U3,0,
November,2017,PH1,C1,0,
November,2017,PH1,C2,0,
November,2017,PH1,C3,0,
November,2017,PH1,T1,0.09,
November,2017,PH1,T2,0,
November,2017,PH1,T3,0,
November,2017,PH1,U1,0,
November,2017,PH1,U2,0,
November,2017,PH1,U3,0,
November,2017,MS,C1,0,
November,2017,MS,C2,0,
November,2017,MS,C3,0.28,
November,2017,MS,T1,0,
November,2017,MS,T2,0.47,
November,2017,MS,T3,0,
November,2017,MS,U1,0,
November,2017,MS,U2,0,
November,2017,MS,U3,0,
November,2017,WT2,C1,0,
November,2017,WT2,C2,0,
November,2017,WT2,C3,0,
November,2017,WT2,T1,0,
November,2017,WT2,T2,0,
November,2017,WT2,T3,0,
November,2017,WT2,U1,0,
November,2017,WT2,U2,0,
November,2017,WT2,U3,0,
December,2017,RT,C1,0,
December,2017,RT,C2,0,
December,2017,RT,C3,0,
December,2017,RT,T1,0,
December,2017,RT,T2,0,
December,2017,RT,T3,0,
December,2017,RT,U1,0,
December,2017,RT,U2,0,
December,2017,RT,U3,0,
December,2017,TP,C1,0,
December,2017,TP,C2,0,
December,2017,TP,C3,0,
December,2017,TP,T1,0,
December,2017,TP,T2,0,
December,2017,TP,T3,0,
December,2017,TP,U1,0,
December,2017,TP,U2,0,
December,2017,TP,U3,0,
December,2017,CS,C1,0,
December,2017,CS,C2,0,
December,2017,CS,C3,0,
December,2017,CS,T1,0,
December,2017,CS,T2,0,
December,2017,CS,T3,0,
December,2017,CS,U1,0,
December,2017,CS,U2,0,
December,2017,CS,U3,0,
December,2017,WT1,C1,0,
December,2017,WT1,C2,0,
December,2017,WT1,C3,0,
December,2017,WT1,T1,0,
December,2017,WT1,T2,0,
December,2017,WT1,T3,0,
December,2017,WT1,U1,0,
December,2017,WT1,U2,0,
December,2017,WT1,U3,0,
December,2017,PH1,C1,0,
December,2017,PH1,C2,0,
December,2017,PH1,C3,0,
December,2017,PH1,T1,0,
December,2017,PH1,T2,0,
December,2017,PH1,T3,0,
December,2017,PH1,U1,0,
December,2017,PH1,U2,0,
December,2017,PH1,U3,0,
December,2017,MS,C1,1.15,
December,2017,MS,C2,0,
December,2017,MS,C3,0.12,
December,2017,MS,T1,0,
December,2017,MS,T2,0,
December,2017,MS,T3,0.23,
December,2017,MS,U1,0.05,
December,2017,MS,U2,0,
December,2017,MS,U3,0,
December,2017,WT2,C1,0,
December,2017,WT2,C2,0,
December,2017,WT2,C3,0,
December,2017,WT2,T1,0,
December,2017,WT2,T2,0,
December,2017,WT2,T3,0,
December,2017,WT2,U1,0,
December,2017,WT2,U2,0,
December,2017,WT2,U3,0,
January,2018,RT,C1,0,
January,2018,RT,C2,0,
January,2018,RT,C3,0,
January,2018,RT,T1,0,
January,2018,RT,T2,0,
January,2018,RT,T3,0,
January,2018,RT,U1,0,
January,2018,RT,U2,0,
January,2018,RT,U3,0,
January,2018,TP,C1,0,
January,2018,TP,C2,0,
January,2018,TP,C3,0,
January,2018,TP,T1,0,
January,2018,TP,T2,0,
January,2018,TP,T3,0,
January,2018,TP,U1,0,
January,2018,TP,U2,0,
January,2018,TP,U3,0,
January,2018,CS,C1,0,
January,2018,CS,C2,0,
January,2018,CS,C3,0,
January,2018,CS,T1,0,
January,2018,CS,T2,0,
January,2018,CS,T3,0,
January,2018,CS,U1,0,
January,2018,CS,U2,0,
January,2018,CS,U3,0,
January,2018,WT1,C1,0,
January,2018,WT1,C2,0,
January,2018,WT1,C3,0,
January,2018,WT1,T1,0,
January,2018,WT1,T2,0,
January,2018,WT1,T3,0,
January,2018,WT1,U1,0,
January,2018,WT1,U2,0,
January,2018,WT1,U3,0,
January,2018,PH1,C1,0,
January,2018,PH1,C2,0,
January,2018,PH1,C3,0,
January,2018,PH1,T1,0,
January,2018,PH1,T2,0.33,
January,2018,PH1,T3,0,
January,2018,PH1,U1,2.29,
January,2018,PH1,U2,0.18,
January,2018,PH1,U3,0,
January,2018,MS,C1,0,
January,2018,MS,C2,0,
January,2018,MS,C3,0,
January,2018,MS,T1,0,
January,2018,MS,T2,0,
January,2018,MS,T3,0,
January,2018,MS,U1,0,
January,2018,MS,U2,0.52,
January,2018,MS,U3,0,
January,2018,WT2,C1,0,
January,2018,WT2,C2,0,
January,2018,WT2,C3,0,
January,2018,WT2,T1,0,
January,2018,WT2,T2,0,
January,2018,WT2,T3,0,
January,2018,WT2,U1,0,
January,2018,WT2,U2,0,
January,2018,WT2,U3,0,
February,2018,RT,C1,0,
February,2018,RT,C2,0,
February,2018,RT,C3,0,
February,2018,RT,T1,0.97,
February,2018,RT,T2,0,
February,2018,RT,T3,0,
February,2018,RT,U1,0,
February,2018,RT,U2,2.3,
February,2018,RT,U3,17.57,
February,2018,TP,C1,0,
February,2018,TP,C2,0,
February,2018,TP,C3,0,
February,2018,TP,T1,0.06,
February,2018,TP,T2,0.69,
February,2018,TP,T3,0.27,
February,2018,TP,U1,0.51,
February,2018,TP,U2,0.95,
February,2018,TP,U3,0.13,
February,2018,CS,C1,0.08,
February,2018,CS,C2,0,
February,2018,CS,C3,0,
February,2018,CS,T1,0.34,
February,2018,CS,T2,0.26,
February,2018,CS,T3,0.29,
February,2018,CS,U1,0,
February,2018,CS,U2,0.48,
February,2018,CS,U3,0,
February,2018,WT1,C1,0.1,
February,2018,WT1,C2,0.02,
February,2018,WT1,C3,0,
February,2018,WT1,T1,0,
February,2018,WT1,T2,0,
February,2018,WT1,T3,0.3,
February,2018,WT1,U1,0,
February,2018,WT1,U2,3.74,
February,2018,WT1,U3,0,
February,2018,PH1,C1,1.8,
February,2018,PH1,C2,0.75,
February,2018,PH1,C3,0.77,
February,2018,PH1,T1,5.98,
February,2018,PH1,T2,0.74,
February,2018,PH1,T3,1.82,
February,2018,PH1,U1,17.21,
February,2018,PH1,U2,2.96,
February,2018,PH1,U3,11.33,
February,2018,MS,C1,0,
February,2018,MS,C2,0,
February,2018,MS,C3,0,
February,2018,MS,T1,0.58,
February,2018,MS,T2,0,
February,2018,MS,T3,0,
February,2018,MS,U1,0,
February,2018,MS,U2,0,
February,2018,MS,U3,0,
February,2018,WT2,C1,0.12,
February,2018,WT2,C2,0.28,
February,2018,WT2,C3,0,
February,2018,WT2,T1,0.45,
February,2018,WT2,T2,0,
February,2018,WT2,T3,0.15,
February,2018,WT2,U1,1.97,
February,2018,WT2,U2,11.13,
February,2018,WT2,U3,0.28,
March ,2018,RT,C1,0,
March ,2018,RT,C2,0,
March,2018,RT,C3,0,
March,2018,RT,T1,1.1,
March,2018,RT,T2,0.212,
March,2018,RT,T3,0.336,
March,2018,RT,U1,237.018,
March,2018,RT,U2,18.68,
March,2018,RT,U3,37.509,
March,2018,TP,C1,0,
March,2018,TP,C2,0,
March,2018,TP,C3,0,
March,2018,TP,T1,0,
March,2018,TP,T2,1.869,
March,2018,TP,T3,0,
March,2018,TP,U1,9.206,
March,2018,TP,U2,6.309,
March,2018,TP,U3,3.896,
March,2018,CS,C1,0,
March,2018,CS,C2,0,
March,2018,CS,C3,0,
March,2018,CS,T1,0,
March,2018,CS,T2,0.13,
March,2018,CS,T3,0.486,
March,2018,CS,U1,0,
March,2018,CS,U2,0,
March,2018,CS,U3,0,
March,2018,WT1,C1,0,
March,2018,WT1,C2,0,
March,2018,WT1,C3,0.06,
March,2018,WT1,T1,0,
March,2018,WT1,T2,0,
March,2018,WT1,T3,2.23,
March,2018,WT1,U1,0,
March,2018,WT1,U2,0.99,
March,2018,WT1,U3,0,
March,2018,PH1,C1,0,
March,2018,PH1,C2,0,
March,2018,PH1,C3,0,
March,2018,PH1,T1,19.178,
March,2018,PH1,T2,1.042,
March,2018,PH1,T3,9.695,
March,2018,PH1,U1,23.586,
March,2018,PH1,U2,18.856,
March,2018,PH1,U3,0,
March,2018,MS,C1,0,
March,2018,MS,C2,0,
March,2018,MS,C3,0,
March,2018,MS,T1,0,
March,2018,MS,T2,0,
March,2018,MS,T3,0,
March,2018,MS,U1,0,
March,2018,MS,U2,0,
March,2018,MS,U3,0,
March,2018,WT2,C1,0,
March,2018,WT2,C2,0,
March,2018,WT2,C3,0,
March,2018,WT2,T1,0,
March,2018,WT2,T2,0,
March,2018,WT2,T3,0,
March,2018,WT2,U1,0,
March,2018,WT2,U2,3.73,
March,2018,WT2,U3,0,
April,2018,RT,C1,0,
April,2018,RT,C2,0,
April,2018,RT,C3,0,
April,2018,RT,T1,0.808,
April,2018,RT,T2,0,
April,2018,RT,T3,0,
April,2018,RT,U1,58.96,
April,2018,RT,U2,14.288,
April,2018,RT,U3,55.644,
April,2018,TP,C1,0,
April,2018,TP,C2,0,
April,2018,TP,C3,0,
April,2018,TP,T1,0,
April,2018,TP,T2,11.727,
April,2018,TP,T3,1.22,
April,2018,TP,U1,6.119,
April,2018,TP,U2,8.813,
April,2018,TP,U3,8.198,
April,2018,CS,C1,0,
April,2018,CS,C2,1.954,
April,2018,CS,C3,4.762,
April,2018,CS,T1,12.185,
April,2018,CS,T2,0,
April,2018,CS,T3,1.541,
April,2018,CS,U1,2.41,
April,2018,CS,U2,6.063,
April,2018,CS,U3,0.277,
April,2018,WT1,C1,0,
April,2018,WT1,C2,0,
April,2018,WT1,C3,0,
April,2018,WT1,T1,16.542,
April,2018,WT1,T2,0.49,
April,2018,WT1,T3,21.088,
April,2018,WT1,U1,19.676,
April,2018,WT1,U2,13.923,
April,2018,WT1,U3,7.001,
April,2018,PH1,C1,0,
April,2018,PH1,C2,0,
April,2018,PH1,C3,0,
April,2018,PH1,T1,0,
April,2018,PH1,T2,0,
April,2018,PH1,T3,0,
April,2018,PH1,U1,0,
April,2018,PH1,U2,0,
April,2018,PH1,U3,0,
April,2018,MS,C1,0,
April,2018,MS,C2,0,
April,2018,MS,C3,0,
April,2018,MS,T1,0,
April,2018,MS,T2,0.646,
April,2018,MS,T3,0,
April,2018,MS,U1,0.741,
April,2018,MS,U2,0,
April,2018,MS,U3,0,
April,2018,WT2,C1,0,
April,2018,WT2,C2,0,
April,2018,WT2,C3,0,
April,2018,WT2,T1,0,
April,2018,WT2,T2,0,
April,2018,WT2,T3,0,
April,2018,WT2,U1,33.26,
April,2018,WT2,U2,7.156,
April,2018,WT2,U3,0,
May,2018,RT,C1,0,
May,2018,RT,C2,0,
May,2018,RT,C3,0,
May,2018,RT,T1,33.834,
May,2018,RT,T2,10.618,
May,2018,RT,T3,14.93,
May,2018,RT,U1,13.297,
May,2018,RT,U2,7.741,
May,2018,RT,U3,9.796,
May,2018,TP,C1,0,
May,2018,TP,C2,0,
May,2018,TP,C3,0,
May,2018,TP,T1,7.747,
May,2018,TP,T2,7.032,
May,2018,TP,T3,5.774,
May,2018,TP,U1,6.025,
May,2018,TP,U2,9.832,
May,2018,TP,U3,5.183,
May,2018,CS,C1,0,
May,2018,CS,C2,6.667,
May,2018,CS,C3,0,
May,2018,CS,T1,1.995,
May,2018,CS,T2,0,
May,2018,CS,T3,0,
May,2018,CS,U1,0,
May,2018,CS,U2,0,
May,2018,CS,U3,0,
May,2018,WT1,C1,0,
May,2018,WT1,C2,0,
May,2018,WT1,C3,0,
May,2018,WT1,T1,0,
May,2018,WT1,T2,2.831,
May,2018,WT1,T3,13.148,
May,2018,WT1,U1,0,
May,2018,WT1,U2,12.62,
May,2018,WT1,U3,6.435,
May,2018,PH1,C1,4.886,
May,2018,PH1,C2,0,
May,2018,PH1,C3,0,
May,2018,PH1,T1,63.655,
May,2018,PH1,T2,5.132,
May,2018,PH1,T3,62.465,
May,2018,PH1,U1,23.568,
May,2018,PH1,U2,0,
May,2018,PH1,U3,55.848,
May,2018,MS,C1,0,
May,2018,MS,C2,0,
May,2018,MS,C3,0.461,
May,2018,MS,T1,1.816,
May,2018,MS,T2,0.942,
May,2018,MS,T3,0.743,
May,2018,MS,U1,0,
May,2018,MS,U2,3.907,
May,2018,MS,U3,0,
May,2018,WT2,C1,0,
May,2018,WT2,C2,0,
May,2018,WT2,C3,0,
May,2018,WT2,T1,3.171,
May,2018,WT2,T2,34.18,
May,2018,WT2,T3,0,
May,2018,WT2,U1,0,
May,2018,WT2,U2,4.851,
May,2018,WT2,U3,19.621,
April,2018,RT,T2,0.68,
April,2018,TP,T2,0,
August,2018,TP,T3,1.5,
August,2018,WT2,U2,0.33,
August ,2018,MS,C2,1.5,
August ,2018,MS,C3,2.85,
August ,2018,PH1,T3,0.98,
August ,2018,Ph1,U3,0.86,
August ,2018,RT,T1,1.78,
August ,2018,RT,T2,1.51,
August ,2018,RT,T3,0.67,
August ,2018,RT,U3,4.11,
August ,2018,RT,U3,0.6,
August ,2018,TP,C2,0.11,
August ,2018,TP,T2,0.89,
August ,2018,WT2,U3,0.16,
August ,2018,WT1,C1,23.04,
August ,2018,WT1,T2,0.88,
August ,2018,WT1,T3,0.96,
August ,2018,WT1,U1,0.11,
August ,2018,WT2,T1,0.29,
December,2018,PH1,T2,2.42,
December,2018,PH1,T3,10.42,
December,2018,PH1,TU1,24.03,
December,2018,PH1,U2,37.37,
December,2018,PH1,U3,14.88,
December,2018,RT,U3,9.98,
December,2018,TP,U3,0.52,
December,2018,WT1,U2,1.14,
December ,2018,CS,C1,1.8,
December ,2018,CS,C2,2.81,
December ,2018,CS,T1,0.21,
December ,2018,CS,U2,0.48,
December ,2018,CS,U3,0.19,
December ,2018,MS,T3,0.55,
December ,2018,PH1,C1,1.84,
December ,2018,PH1,C2,0.51,
December ,2018,RT,T1,0.18,
December ,2018,RT,U3,1.28,
December ,2018,TP,T2,0.27,
December ,2018,TP,U1,1.2,
December ,2018,WT,U1,0.24,
December ,2018,WT1,T3,0.77,
December ,2018,WT2,C2,0.68,
December ,2018,WT2,T1,1.25,
December ,2018,WT2,T3,0.9,
January,2018,WT2,U1,8.35,
January,2019,RT,T1,7.54,
January,2019,RT,T2,0.6,
January,2019,RT,T3,1.87,
January,2019,RT,U1,71.35,
January,2019,RT,U3,101.35,
January,2019,RT,U2,36.45,
January,2019,TP,U1,8.43,
January,2019,TP,U3,40.17,
January,2019,WT2,T1,3.51,
January,2019,WT2,U2,20.57,
January ,2019,TP,U2,7.17,
January/February,2019,CS,U1,9.23,
January/February,2019,CS,U3,1.88,
January/February,2019,MS,U2,5.42,
January/February,2019,MS,U3,5.81,
January/February,2019,MS,U1,7.87,
January/February,2019,PH1,T1,11.25,
January/February,2019,PH1,U1,48.38,
January/February,2019,PH1,U2,54.88,
January/February,2019,PH1,U3,86.08,
January/February,2019,WT1,T3,35.68,
January/February,2019,WT1,U1,17.46,
January/February,2019,WT1,U2,14.57,
January/February,2019,WT1,U3,14.98,
January/February,2019,WT2,U3,14.21,
January/February ,2019,CS,U2,3.2,
July,2018,CS,C1,1.17,
July,2018,CS,C2,1.18,
July,2018,CS,C3,1.47,
July,2018,CS,T1,1.27,
July,2018,CS,T2,2.21,
July,2018,MS,C1,0.53,
July,2018,MS,C2,8,
July,2018,MS,C3,4.69,
July,2018,MS,T1,1.4,
July,2018,MS,T3,0.1,
July,2018,PH1,C2,0.35,
July,2018,PH1,C3,0.22,
July,2018,PH1,T3,3.47,
July,2018,PH1,TU1,5.83,
July,2018,PH1,U2,1.43,
July,2018,PH1,U3,1.87,
July,2018,RT,C1,0.38,
July,2018,RT,T1,9.03,
July,2018,RT,T2,17.9,
July,2018,RT,T3,3.16,
July,2018,RT,U2,2.01,
July,2018,TP,C3,0.33,
July,2018,TP,U3,0.82,
July,2018,TP,T1,4.14,
July,2018,TP,T2,4.36,
July,2018,TP,T3,12.88,
July,2018,TP,U1,0.52,
July,2018,TP,U2,1.31,
July,2018,WT1,C2,15.19,
July,2018,WT1,C3,0.09,
July,2018,WT1,T3,2.71,
July,2018,WT1,U2,0.94,
July,2018,WT1,U3,1.83,
July,2018,WT2,C2,0.44,
July,2018,WT2,C3,1.34,
July,2018,WT2,T1,3.36,
July,2018,WT2,U2,0.34,
July,2018,WT2,U3,3.75,
July ,2018,WT2,C1,0.91,
March,2018,TP,U1,30.99,
May,2018,CS,C3,4.37,
,,,,,
November ,2018,CS,C2,1.62,
November ,2018,CS,U2,0.05,
November ,2018,MS,C1,0.12,
November ,2018,PH1,U3,0.72,
November ,2018,,,0.05,2 individuals -- Sonchus spp and 1 grass
October ,2018,CS,C2,0.45,
October ,2018,CS,C3,0.11,
October ,2018,MS,C3,0.09,
September,2018,WT1,T3,1.54,
September ,2018,CS,T1,0.52,
September ,2018,MS,C1,0.33,
September ,2018,MS,C2,0.54,
September ,2018,PT,T3,1.62,
September ,2018,RT,T1,3.01,
September ,2018,RT,T2,6.19,
September ,2018,RT,U1,4.33,
September ,2018,RT,U3,0.85,
September ,2018,TP,T1,0.57,
September ,2018,TP,T3,1.41,
September ,2018,WT1,U2,1.23,
September ,2018,WT1,U3,0.34,
September ,2018,WT2,U3,1.29,
March/April,2019,TP,U2,79.06,
March/April,2019,RT,T1,123.27,
March/April,2019,RT,T3,0.15,
March/April,2019,RT,U3,127.35,
March/April,2019,PH1,T2,8.86,
March/April,2019,RT,T2,10.57,
March/April,2019,RT,T3,47.76,
March/April,2019,RT,U2,17.18,
March/April,2019,CS,C2,7.41,
March/April,2019,MS,T3,2.36,
March/April,2019,TP,U1,33.64,
March/April,2019,PH1,U2,57.18,
March/April,2019,TP,U3,48.69,
March/April,2019,CS,U3,10.16,
March/April,2019,MS,U1,6.83,
March/April,2019,PH1,U3,75.99,
March/April,2019,PH1,U1,85.79,
March/April,2019,PH1,T1,87,
March/April,2019,WT2,U3,97.46,
March/April,2019,PH1,T3,73.22,
March/April,2019,CS,U2,0.72,
March/April,2019,CS,U1,3.92,
March/April,2019,TP,T2,95.75,
March/April,2019,MS,U3,8.98,
March/April,2019,CS,C1,12.63,
March/April,2019,RT,U1,24.55,
March/April,2019,MS,T2,1.65,
March/April,2019,MS,U2,3.37,
March/April,2019,CS,T3,1.18,
March/April,2019,TP,T3,91.36,
March/April,2019,CS,T2,62.89,
March/April,2019,TP,T3,31.74,
May/June,2019,CS,U2,16.28,
May/June,2019,WT2,T2,21.54,
May/June,2019,WT2,U2,7.25,
May/June,2019,CS,T3,2.84,
May/June,2019,PH1,C3,2.32,
May/June,2019,CS,C3,7.16,
May/June,2019,CS,U2,4.6,
May/June,2019,PH1,U3,15.43,
May/June,2019,WT2,U1,2.44,
May/June,2019,PH1,U2,4.17,
May/June,2019,CS,T2,8.32,
May/June,2019,PH1,T3,32.61,
May/June,2019,TP,C3,5.97,
May/June,2019,RT,U3,6.03,
June,2019,PH1,U1,8.01,
May/June,2019,PH1,T1,50.74,
May/June,2019,RT,U1,6.41,
May/June,2019,PH1,T2,16.43,
May/June,2019,RT,T2,96.76,
May/June,2019,CS,T1,19.84,
May/June,2019,RT,C3,3.86,
May/June,2019,RT,U2,5.58,
May/June,2019,TP,C2,12.03,
May/June,2019,RT,C1,0.67,
May/June,2019,TP,T2,49.46,
May/June,2019,TP,U2,5.26,
May/June,2019,TP,T1,25.97,
May/June,2019,CS,U1,1.14,
May/June,2019,RT,T1,6.93,
May/June,2019,TP,U1,15.55,
March/April,2019,WT2,U2,59.84,
May/June,2019,TP,U3,11.45,
March/April,2019,WT1,U1,55.35,
March/April,2019,WT1,T3,57.35,
March/April,2019,WT2,U1,27.24,
May/June,2019,MS,U1,1.98,
May/June,2019,WT1,T3,57.43,
May/June,2019,MS,U2,3.67,
March/April,2019,WT,U2,36.91,WT1 or 2?
March/April,2019,WT1,T2,3.25,
March/April,2019,WT1,U3,51.22,
May/June,2019,WT1,U2,9.89,
May/June,2019,MS,T2,3.41,
May/June,2019,RT,T3,20.58,
May/June,2019,RT,C2,2.74,
May/June,2019,TP,T3,210.57,
March/April,2019,WT2,T1,25.59,
May/June,2019,WT2,C2,39.32,
May/June,2019,WT2,U3,11.34,
May/June,2019,WT1,T2,7.59,
May/June,2019,WT1,U1,19.43,
May/June,2019,WT1,U3,15.49,
May/June,2019,MS,C1,5.45,
May/June,2019,MS,U3,0.81,
May/June,2019,WT2,C1,4.35,
May/June,2019,MS,T1,7.6,
May/June,2019,MS,T3,9.15,
May/June,2019,WT2,T3,5.81,
May/June,2019,WT1,C2,0.08,
November,2019,WT2,T1,10.18,
November,2019,CS,C2,2.86,
November,2019,WT2,C2,1.86,
November,2019,PH1,T2,1.28,
November,2019,WT1,T3,4.15,
November,2019,WT2,C1,0.62,
November,2019,WT1,U3,2.5,
November,2019,TP,C2,2.81,
November,2019,WT1,U1,0.04,
November,2019,WT1,U2,5.16,
November,2019,TP,C3,4.01,
November,2019,PH1,C3,0.96,
November,2019,PH1,U1,2.12,
November,2019,MS,C3,0.53,
November,2019,WT2,U2,1.15,
November,2019,CS,U2,0.38,
November,2019,TP,T1,9.76,
November,2019,TP,U2,14.05,
November,2019,RT,T1,0.05,
November,2019,CS,T1,0.6,
November,2019,RT,T2,9.03,
November,2019,RT,U1,1.59,
November,2019,TP,T3,8.12,
November,2019,TP,U1,0.34,
November,2019,RT,C1,0.09,
November,2019,RT,U2,0.34,
November,2019,RT,C3,1.01,
November,2019,RT,C2,0.3,
November,2019,RT,T3,2.18,
November,2019,RT,U3,4.07,
November,2019,TP,U3,4.37,
November,2019,TP,T2,3.68,
November,2019,PH1,T1,1.41,
November,2019,CS,T3,0.45,
January,2020,CS,T1,1.21,
January,2020,WT2,C1,0.01,
January,2020,WT1,C2,0.28,
January,2020,TP,T1,1.88,
January,2020,TP,T2,0.03,
January,2020,TP,U3,0.29,
January,2020,WT1,T2,0.01,
January,2020,TP,C3,0.01,
January,2020,PH1,T2,0.35,
January,2020,PH1,U3,0.67,
January,2020,CS,U2,1.12,
January,2020,WT1,T3,0.3,
January,2020,PH1,U2,2.71,
January,2020,WT1,U3,1.2,
January,2020,WT2,T1,3.13,
January,2020,WT2,C2,0.59,
January,2020,RT,C3,0.19,
January,2020,TP,U2,0.98,
January,2020,TP,T3,0.12,
January,2020,PH1,T3,0.75,
January,2020,UNKNOWN (TP?),UNKNOWN (T?),1.69,